name,category,address,latitude,longitude,distance_miles,direction,distance_label,rating,source,notes
Starbucks Coffee Company,Restaurant & QSR,"500 Marketplace Boulevard, Forney",32.7487,-96.44999,1.38,E,E - 1.38 mi,3.6,Google Places,"cafe, store, food, point_of_interest, establishment"
Bitcoin Depot - Bitcoin ATM,Financial Services,"1102 Ranch Road #216, Forney",32.76513209999999,-96.4566668,1.38,NE,NE - 1.38 mi,3,Google Places,"atm, finance, point_of_interest, establishment"
Tokyo Harbor,Restaurant & QSR,"724 East US Highway 80 #100, Forney",32.74445740000001,-96.45077119999999,1.4,ESE,ESE - 1.4 mi,4.2,Google Places,"restaurant, food, point_of_interest, establishment"
Kroger Pharmacy,Healthcare,"500 Marketplace Boulevard, Forney",32.74905340000001,-96.44941229999999,1.41,E,E - 1.41 mi,2.8,Google Places,"pharmacy, drugstore, health, store, point_of_interest, establishment"
Forney City Parks Department,Government & Civic,"241 South Farm to Market 548, Forney",32.7382089,-96.4546099,1.41,SE,SE - 1.41 mi,4,Google Places,"local_government_office, point_of_interest, establishment"
Jack in the Box,Restaurant & QSR,"769 East US Highway 80, Forney",32.7430078,-96.45124910000001,1.41,ESE,ESE - 1.41 mi,3.6,Google Places,"meal_delivery, restaurant, food, point_of_interest, establishment"
Coinstar Kiosk - Bitcoin ATM,Financial Services,"Kroger - Dallas, 500 Marketplace Boulevard, Forney",32.74908409999999,-96.4494144,1.41,E,E - 1.41 mi,4,Google Places,"atm, finance, point_of_interest, store, establishment"
Daylight Donuts,Restaurant & QSR,"724 East US Highway 80 #124, Forney",32.74432909999999,-96.4504927,1.42,ESE,ESE - 1.42 mi,4.8,Google Places,"bakery, food, store, point_of_interest, establishment"
Copeland Distribution Center,Industrial & Logistics,"13871 E US Hwy 80 Frontage Rd, Forney",32.7632884,-96.4932961,1.43,NW,NW - 1.43 mi,3.5,Google Places,"storage, point_of_interest, establishment"
easyvet Veterinarian Forney,Healthcare,"471 Marketplace Boulevard Suite 230, Forney",32.74694309999999,-96.449286,1.44,ESE,ESE - 1.44 mi,4.8,Google Places,"veterinary_care, pharmacy, health, store, point_of_interest, establishment"
Cristina's Fine Mexican Restaurant,Restaurant & QSR,"724 West US Highway 80, Forney",32.7441925,-96.4501346,1.44,ESE,ESE - 1.44 mi,4.1,Google Places,"restaurant, food, point_of_interest, establishment"
Tropical Smoothie Cafe,Restaurant & QSR,"471 Marketplace Boulevard Suite 240, Forney",32.746942,-96.44926099999999,1.44,ESE,ESE - 1.44 mi,3.5,Google Places,"cafe, restaurant, food, point_of_interest, establishment"
City Bank,Financial Services,"771 East US Highway 80 #100, Forney",32.74237100000001,-96.45096769999999,1.44,ESE,ESE - 1.44 mi,4,Google Places,"bank, atm, finance, point_of_interest, establishment"
City Bank ATM,Financial Services,"771 East US Highway 80, Forney",32.7422329,-96.4509877,1.44,ESE,ESE - 1.44 mi,3,Google Places,"atm, finance, point_of_interest, establishment"
Jersey Mike's Subs,Restaurant & QSR,"375 Farm to Market 548 #160, Forney",32.7452359,-96.44949009999999,1.45,ESE,ESE - 1.45 mi,4.2,Google Places,"meal_takeaway, store, restaurant, food, point_of_interest, establishment"
"Shilpi Mittal, MD",Healthcare,"375 Farm to Market 548 #100, Forney",32.7449947,-96.44947359999999,1.46,ESE,ESE - 1.46 mi,3.9,Google Places,"doctor, health, point_of_interest, establishment"
Care United Primary & Urgent care center,Healthcare,"375 Farm to Market 548 Suite 100, Forney",32.7450026,-96.4495243,1.46,ESE,ESE - 1.46 mi,4.2,Google Places,"doctor, health, point_of_interest, establishment"
Baylor Scott & White Outpatient Rehabilitation - Forney,Healthcare,"450 Farm to Market 548 #100, Forney",32.7458633,-96.44899579999999,1.47,ESE,ESE - 1.47 mi,4.5,Google Places,"physiotherapist, doctor, health, point_of_interest, establishment"
Welcoming 3-bedroom 2 bath home in charming Forney.,Hospitality,United States,32.7716713,-96.4660797,1.48,NNE,NNE - 1.48 mi,,Google Places,"lodging, point_of_interest, establishment"
CVS Photo,Retail & Big Box,"775 East US Highway 80, Forney",32.742146,-96.45021849999999,1.49,ESE,ESE - 1.49 mi,2.5,Google Places,"electronics_store, home_goods_store, store, point_of_interest, establishment"
NorthStar Container Rental,Industrial & Logistics,"750 East US Highway 80, Forney",32.7439499,-96.4493028,1.49,ESE,ESE - 1.49 mi,5,Google Places,"storage, point_of_interest, establishment"
CVS Pharmacy,Healthcare,"775 East US Highway 80, Forney",32.742146,-96.45021849999999,1.49,ESE,ESE - 1.49 mi,3.9,Google Places,"pharmacy, health, store, point_of_interest, establishment"
CVS,Gas & Convenience,"775 East US Highway 80, Forney",32.742146,-96.45021849999999,1.49,ESE,ESE - 1.49 mi,2.5,Google Places,"drugstore, convenience_store, clothing_store, food, health, store, point_of_interest, establishment"
LibertyX Bitcoin ATM,Financial Services,"775 East US Highway 80, Forney",32.742146,-96.45021849999999,1.49,ESE,ESE - 1.49 mi,,Google Places,"atm, finance, point_of_interest, establishment"
CVS ATM,Financial Services,"775 East US Highway 80, Forney",32.742146,-96.45021849999999,1.49,ESE,ESE - 1.49 mi,,Google Places,"atm, finance, point_of_interest, establishment"
Costco Pharmacy,Healthcare,"150 Farm to Market Road 460, Forney",32.7704448,-96.48512910000001,1.5,NNW,NNW - 1.5 mi,5,Google Places,"pharmacy, health, store, point_of_interest, establishment"
Cowboy Chicken,Restaurant & QSR,"780 East US Highway 80, Forney",32.7438481,-96.4491431,1.5,ESE,ESE - 1.5 mi,4,Google Places,"restaurant, food, point_of_interest, establishment"
Kroger Fuel Center,Gas & Convenience,"575 Marketplace Boulevard, Forney",32.7481494,-96.4479259,1.5,E,E - 1.5 mi,4.5,Google Places,"gas_station, point_of_interest, establishment"
FM 460,Transportation & Infrastructure,2 businesses on this road within radius,32.7511104,-96.4734864,1.5,N/A,~1.5 mi (nearest business on road),,Derived from Google Places addresses,Farm to Market Road
