name,category,address,latitude,longitude,distance_miles,direction,distance_label,rating,source,notes
Forney High School,Retail & Big Box,"1800 College Avenue, Forney",32.72430360000001,-96.4573128,2.08,SSE,SSE - 2.08 mi,,Google Places,"secondary_school, school, point_of_interest, establishment"
Innovation Ridge Logistics Park Building 1,Industrial & Logistics,"755 Ridgecrest Road, Forney",32.7457842,-96.4376084,2.12,E,E - 2.12 mi,1,Google Places,"storage, point_of_interest, establishment"
Trinity Crossing community pool,Parks & Recreation,"2000 Apollo Drive, Forney",32.781468,-96.478443,2.12,N,N - 2.12 mi,,Google Places,"park, point_of_interest, establishment"
Noah Xpress LLC,Industrial & Logistics,"514 Tuscany Drive, Forney",32.76033979999999,-96.4384566,2.13,ENE,ENE - 2.13 mi,,Google Places,"moving_company, point_of_interest, establishment"
7-Eleven Fuel,Gas & Convenience,"1340 Farm to Market 548, Forney",32.7561515,-96.43704,2.15,E,E - 2.15 mi,2.3,Google Places,"gas_station, point_of_interest, establishment"
Roll of Fabrics,Retail & Big Box,"12240 Currency Circle, Forney",32.73644000000001,-96.44039199999999,2.17,ESE,ESE - 2.17 mi,1,Google Places,"home_goods_store, store, point_of_interest, establishment"
7-Eleven,Gas & Convenience,"1340 Farm to Market 548, Forney",32.75616529999999,-96.43669779999999,2.17,E,E - 2.17 mi,2.6,Google Places,"convenience_store, food, store, point_of_interest, establishment"
"DavCor Services, LLC",Industrial & Logistics,"12240 Currency Circle, Forney",32.7364183,-96.440313,2.18,ESE,ESE - 2.18 mi,4.5,Google Places,"storage, store, point_of_interest, establishment"
Tileofluxury,Retail & Big Box,"10478 U.S. 80, Forney",32.7418916,-96.4373,2.2,ESE,ESE - 2.2 mi,5,Google Places,"home_goods_store, store, point_of_interest, establishment"
Antiques and vintage Dallas,Retail & Big Box,"10486 West US Highway 80, Forney",32.7419146,-96.43669659999999,2.23,ESE,ESE - 2.23 mi,2.5,Google Places,"home_goods_store, store, car_repair, point_of_interest, establishment"
The Sip Society,Restaurant & QSR,"11102 Walnut Lane, Forney",32.7189602,-96.47699829999999,2.23,S,S - 2.23 mi,5,Google Places,"cafe, store, food, point_of_interest, establishment"
Antiques & Vintage Texas,Retail & Big Box,"10470 West US Highway 80, Forney",32.7419204,-96.4363147,2.25,ESE,ESE - 2.25 mi,4.2,Google Places,"home_goods_store, finance, store, point_of_interest, establishment"
Regal Designer Delivery L.L.C.,Industrial & Logistics,"11828 North Profit Row, Forney",32.73203170000001,-96.4402393,2.34,SE,SE - 2.34 mi,4.3,Google Places,"moving_company, storage, point_of_interest, establishment"
Just My Cup of Tea,Restaurant & QSR,"10380 West US Highway 80, Forney",32.7418935,-96.43439099999999,2.36,ESE,ESE - 2.36 mi,2.6,Google Places,"cafe, food, point_of_interest, establishment"
Sunbelt Self Storage,Industrial & Logistics,"13975 Farm to Market 548, Forney",32.7596373,-96.4336619,2.39,ENE,ENE - 2.39 mi,4.9,Google Places,"storage, point_of_interest, establishment"
Forney Fire Station 2,Government & Civic,"980 Reeder Lane, Forney",32.7573723,-96.43284729999999,2.4,E,E - 2.4 mi,5,Google Places,"fire_station, point_of_interest, establishment"
Green Office Solutions,Retail & Big Box,"13038 South Profit Row, Forney",32.733973,-96.43743309999999,2.41,ESE,ESE - 2.41 mi,4.7,Google Places,"moving_company, furniture_store, home_goods_store, finance, store, point_of_interest, establishment"
Gateway Gas Station,Gas & Convenience,"13975 Farm to Market 548, Forney",32.7588636,-96.4331318,2.41,ENE,ENE - 2.41 mi,3.6,Google Places,"gas_station, point_of_interest, establishment"
Donut Supreme,Restaurant & QSR,"13980 Farm to Market 548, Forney",32.7592042,-96.43264160000001,2.44,ENE,ENE - 2.44 mi,4.8,Google Places,"bakery, food, store, point_of_interest, establishment"
Johnson Elementary School,School & University,"10835 Walnut Lane, Forney",32.7163428,-96.48213810000001,2.45,SSW,SSW - 2.45 mi,,Google Places,"primary_school, school, point_of_interest, establishment"
Kaufman-Van Zandt-Rockwall Soil and Water Conservation District #505,Government & Civic,"8620 Farm to Market Road 741, Forney",32.7219837,-96.4494658,2.45,SE,SE - 2.45 mi,,Google Places,"local_government_office, point_of_interest, establishment"
Little Red's Antiques,Retail & Big Box,"10274 West US Highway 80, Forney",32.7416954,-96.4325942,2.46,ESE,ESE - 2.46 mi,4.4,Google Places,"furniture_store, home_goods_store, general_contractor, store, point_of_interest, establishment"
Ascribe Rx,Healthcare,"13020 Farm to Market Road 1641, Heath",32.7316616,-96.43734010000001,2.49,ESE,ESE - 2.49 mi,,Google Places,"pharmacy, health, store, point_of_interest, establishment"
Storage 365,Industrial & Logistics,"18721 Farm to Market Road 740, Forney",32.7871991,-96.4775777,2.5,N,N - 2.5 mi,5,Google Places,"storage, point_of_interest, establishment"
Grayhawk Neighborhood Park & Pool,Parks & Recreation,"Flamingo Road, Forney",32.7146566,-96.4760666,2.52,S,S - 2.52 mi,4.5,Google Places,"park, point_of_interest, establishment"
Delphi Cabinet Designs,Retail & Big Box,"12950 Farm to Market Road 1641, Forney",32.7315797,-96.4353356,2.6,ESE,ESE - 2.6 mi,,Google Places,"furniture_store, home_goods_store, store, point_of_interest, establishment"
Texas Health Hospital Forney,Healthcare,"12800 Reeder Road, Forney",32.7430729,-96.428185,2.69,ESE,ESE - 2.69 mi,5,Google Places,"hospital, health, point_of_interest, establishment"
Forney Fire Station #3,Government & Civic,"12487 Windy Lane, Forney",32.7184293,-96.4464849,2.75,SE,SE - 2.75 mi,,Google Places,"fire_station, point_of_interest, establishment"
Travis Ranch Pavillion and Soccer Fields,Parks & Recreation,"2201 Doole Court, Forney",32.7919755,-96.4766678,2.83,N,N - 2.83 mi,,Google Places,"park, point_of_interest, establishment"
BJ's Wholesale Club,Technology & Innovation,"11150 East US Highway 80, Forney",32.7435494,-96.42484499999999,2.87,E,E - 2.87 mi,4.4,Google Places,"gas_station, bakery, liquor_store, electronics_store, grocery_or_supermarket, car_repair, food, health, store, point_of_interest, establishment"
Goat Farm Coffee House,Restaurant & QSR,"12620 Farm to Market Road 1641, Forney",32.7267418,-96.4331314,2.89,SE,SE - 2.89 mi,4.5,Google Places,"cafe, store, food, point_of_interest, establishment"
Hayes Retail Services,Industrial & Logistics,"11333 County Road 212, Forney",32.73750770000001,-96.4263522,2.9,ESE,ESE - 2.9 mi,3.8,Google Places,"storage, point_of_interest, establishment"
BJ's Gas Station,Gas & Convenience,"11160 East US Highway 80, Forney",32.741353,-96.4249045,2.9,ESE,ESE - 2.9 mi,5,Google Places,"gas_station, store, point_of_interest, establishment"
CR 212,Transportation & Infrastructure,1 business on this road within radius,32.7511104,-96.4734864,2.9,N/A,~2.9 mi (nearest business on road),,Derived from Google Places addresses,County Road
EVO Entertainment + EVX + IMAX® - Forney,Sports & Entertainment,"1065 Cypress Hollow Drive, Forney",32.74359680000001,-96.42291259999999,2.98,E,E - 2.98 mi,4.8,Google Places,"movie_theater, point_of_interest, establishment"
